publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p021577,,2017-01-08T23:36:26.955Z,2017-01-08T23:38:43.601Z,174.0140991,-42.26589998,2.002689243,45.3125,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.3830880388,189.0130621,0.6189597257,0
2017p021572,,2017-01-08T23:33:54.366Z,2017-01-08T23:35:51.560Z,173.555923,-42.20750511,2.08352432,16.71875,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.2089137691,154.9624977,0.5555544554,0
2017p021553,,2017-01-08T23:23:44.139Z,2017-01-08T23:25:48.459Z,173.3256169,-42.58632651,2.4306379,24.6875,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.2324075288,160.7134429,0.3391469963,0
2017p021550,,2017-01-08T23:22:00.838Z,2017-01-08T23:23:47.190Z,176.3834901,-40.86979501,1.901712533,17.65625,M,,NonLinLoc,,automatic,nz3drx,14,14,8,0.1443315465,215.4905905,0.5968011826,0
2017p021538,,2017-01-08T23:15:47.737Z,2017-01-08T23:18:07.485Z,176.3777913,-40.86629232,2.00330602,17.65625,M,,NonLinLoc,,automatic,nz3drx,18,18,13,0.1413642763,214.6952207,0.4584118036,0
2017p021530,,2017-01-08T23:11:27.791Z,2017-01-08T23:13:50.608Z,177.3709668,-37.5286743,2.335873939,93.125,M,,NonLinLoc,,automatic,nz3drx,22,22,8,0.3885790703,160.0207127,1.594566191,0
2017p021518,,2017-01-08T23:05:05.615Z,2017-01-08T23:07:01.862Z,174.2455076,-41.71960301,1.818587978,10.859375,M,,NonLinLoc,,automatic,nz3drx,17,17,6,0.03924689896,138.4715652,0.501806084,0
2017p021511,,2017-01-08T23:01:20.044Z,2017-01-08T23:03:53.999Z,174.4182944,-41.55202127,2.154500938,15.78125,M,,NonLinLoc,,automatic,nz3drx,21,21,11,0.2523592365,125.7927808,0.3293313041,0
2017p021498,,2017-01-08T22:54:22.674Z,2017-01-08T22:55:56.104Z,178.2028337,-37.99178916,1.547615239,5.234375,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.0899498496,109.2144742,0.5788130181,0
2017p021435,,2017-01-08T22:20:51.016Z,2017-01-08T22:23:16.137Z,173.0127861,-39.78300043,3.001938021,33.125,M,,NonLinLoc,,automatic,nz3drx,14,14,6,1.094861514,217.9235733,2.564303481,0
2017p021421,,2017-01-08T22:13:21.587Z,2017-01-08T22:15:26.448Z,173.3119257,-42.5175017,2.35127788,25.15625,M,,NonLinLoc,,automatic,nz3drx,22,22,8,0.1962558924,143.1021998,1.019759705,0
2017p021400,,2017-01-08T22:02:31.665Z,2017-01-08T22:04:20.251Z,174.1735275,-41.70497775,1.639899586,13.90625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.05444091368,66.81629379,0.2692809184,0
2017p021393,,2017-01-08T21:58:18.491Z,2017-01-08T22:00:55.187Z,173.6725407,-42.25762653,2.635288144,28.90625,M,,NonLinLoc,,automatic,nz3drx,35,35,15,0.1871805909,139.2159069,0.8317716986,0
2017p021327,,2017-01-08T21:23:18.917Z,2017-01-08T21:24:22.201Z,176.4003664,-40.53612596,1.522793054,15.078125,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.09552404009,181.5380082,0.3587487025,0
2017p021295,,2017-01-08T21:06:14.675Z,2017-01-08T21:08:27.782Z,176.3907224,-40.54083812,2.282914441,16.953125,M,,NonLinLoc,,automatic,nz3drx,27,27,19,0.1039340274,162.7808934,0.614486468,0
2017p021278,,2017-01-08T20:57:05.238Z,2017-01-08T20:59:21.138Z,173.2508997,-42.54577463,2.379262425,22.34375,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.2494385263,141.8664829,0.5750153952,0
2017p021270,,2017-01-08T20:52:51.436Z,2017-01-08T20:54:37.459Z,174.3738269,-41.68750337,2.046380612,5.46875,M,,NonLinLoc,,automatic,nz3drx,20,20,7,0.1358158851,132.2816351,1.049264872,0
2017p021253,,2017-01-08T20:43:57.337Z,2017-01-08T20:45:57.103Z,176.3981004,-40.52939152,2.154479253,15.078125,M,,NonLinLoc,,automatic,nz3drx,16,16,13,0.09133471675,161.1872855,0.3255194651,0
2017p021249,earthquake,2017-01-08T20:41:26.950Z,2017-01-08T23:31:51.322Z,176.4060371,-40.53962865,3.548515958,15.078125,M,,NonLinLoc,confirmed,manual,nz3drx,18,11,9,0.095808195,168.474886,0.3862319965,0
2017p021222,,2017-01-08T20:27:22.537Z,2017-01-08T20:29:09.297Z,174.1563521,-41.6752775,1.387413141,11.328125,M,,NonLinLoc,,automatic,nz3drx,16,16,5,0.08630894105,68.11598529,0.4474410803,0
2017p021201,,2017-01-08T20:16:18.017Z,2017-01-08T20:18:42.748Z,174.4433208,-41.59195865,2.279714431,20.234375,M,,NonLinLoc,,automatic,nz3drx,23,23,15,0.2352951454,131.5773673,0.298032479,0
2017p021192,,2017-01-08T20:11:10.396Z,2017-01-08T20:13:15.462Z,174.3619508,-41.72635698,2.177691152,10.859375,M,,NonLinLoc,,automatic,nz3drx,21,21,11,0.1133850059,144.9410384,0.5897401078,0
2017p021188,,2017-01-08T20:09:30.718Z,2017-01-08T20:11:27.186Z,176.3972468,-40.53686616,1.651107443,13.90625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.09761031365,180.2962453,0.5257052563,0
2017p021108,,2017-01-08T19:26:43.324Z,2017-01-08T19:28:50.152Z,174.3829694,-41.70945803,2.30416932,15.3125,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.1332382033,164.8073395,0.4064061718,0
2017p021089,,2017-01-08T19:16:15.595Z,2017-01-08T19:18:27.589Z,173.6296392,-42.25304008,2.240788473,25.15625,M,,NonLinLoc,,automatic,nz3drx,22,22,6,0.1765907615,154.8475859,0.5921065233,0
2017p021068,,2017-01-08T19:05:15.359Z,2017-01-08T19:07:24.298Z,173.8659306,-42.13644568,2.080150916,26.09375,M,,NonLinLoc,,automatic,nz3drx,18,18,5,0.371122986,154.9970966,0.5428540942,0
2017p021053,,2017-01-08T18:57:20.652Z,2017-01-08T18:59:46.671Z,174.2391068,-41.72108342,2.541564858,6.171875,M,,NonLinLoc,,automatic,nz3drx,30,30,17,0.03526550711,134.0435052,0.7250922874,0
2017p021051,,2017-01-08T18:56:13.881Z,2017-01-08T18:58:01.180Z,177.7649446,-37.91743386,1.279941894,54.6875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.08614123832,130.8397876,0.6131563543,0
