publicid	eventtype	origintime	modificationtime	longitude	 latitude	 magnitude	 depth	magnitudetype	depthtype	evaluationmethod	evaluationstatus	evaluationmode	earthmodel	usedphasecount	usedstationcount	magnitudestationcount	minimumdistance	azimuthalgap	originerror	magnitudeuncertainty
2017p009205		2017-01-04T09:44:55.872Z	2017-01-04T11:10:51.614Z	173.8504526	-42.11597141	3.801711954	18.59375	M		NonLinLoc		automatic	nz3drx	91	91	39	0.37975928	137.3761057	2.027818712	0
2017p009202		2017-01-04T09:43:03.533Z	2017-01-04T09:45:41.075Z	173.7110137	-42.17197539	2.544867766	27.96875	M		NonLinLoc		automatic	nz3drx	24	24	8	0.2759833698	148.2003405	0.8113729913	0
2017p009129		2017-01-04T09:04:16.186Z	2017-01-04T09:05:56.810Z	174.1268077	-41.68692242	1.605151501	14.84375	M		NonLinLoc		automatic	nz3drx	15	15	5	0.0904872401	126.2064827	0.4696343063	0
2017p009099		2017-01-04T08:48:16.919Z	2017-01-04T08:50:37.251Z	173.5190223	-42.43672748	2.694391284	7.34375	M		NonLinLoc		automatic	nz3drx	14	14	6	0.025507953	172.4907381	0.5251389137	0
2017p009093		2017-01-04T08:44:54.946Z	2017-01-04T09:32:28.906Z	177.487545	-37.05246469	3.520171396	108.125	M		NonLinLoc		automatic	nz3drx	104	104	60	0.7313958852	192.6806969	2.460224664	0
2017p009076		2017-01-04T08:36:08.227Z	2017-01-04T08:38:13.335Z	174.9303337	-40.521392	2.134727931	36.875	M		NonLinLoc		automatic	nz3drx	13	13	5	0.3419066989	74.63233341	1.14956091	0
2017p009068		2017-01-04T08:31:56.223Z	2017-01-04T08:33:01.251Z	174.208385	-41.8027626	1.422909134	16.71875	M		NonLinLoc		automatic	nz3drx	10	10	2	0.0522843578	228.8852088	0.3431856127	0
2017p009026		2017-01-04T08:09:20.330Z	2017-01-04T08:11:38.683Z	171.275714	-43.06565365	2.284915462	9.921875	M		NonLinLoc		automatic	nz3drx	18	18	6	0.3604711272	107.0717004	0.8507630932	0
2017p008994		2017-01-04T07:52:17.756Z	2017-01-04T07:54:11.882Z	174.6263068	-41.15198541	2.007216391	31.015625	M		NonLinLoc		automatic	nz3drx	17	17	8	0.1694246521	99.50749325	0.2045110947	0
2017p008985		2017-01-04T07:47:13.171Z	2017-01-04T07:49:12.790Z	173.6965326	-41.98799751	2.376478062	19.53125	M		NonLinLoc		automatic	nz3drx	14	14	4	0.3035804054	137.087549	0.4599229637	0
